countries, product, quantity, price
ZA,Product-143,895,42.21
MA,Product-144,847,35.87
NG,Product-145,69,57.15
GH,Product-146,787,21.09
KE,Product-147,515,63.69
ZA,Product-148,699,27.65
MA,Product-149,966,34.70
NG,Product-150,796,3.20
GH,Product-151,254,32.37
KE,Product-152,498,43.23
ZA,Product-153,202,35.22
MA,Product-154,643,34.79
NG,Product-155,668,31.86
GH,Product-156,771,40.26
KE,Product-157,801,15.00
ZA,Product-158,894,20.36
MA,Product-159,221,60.62
NG,Product-160,962,34.99
GH,Product-161,549,55.24
KE,Product-162,262,65.31
ZA,Product-163,206,93.22
MA,Product-164,916,67.25
NG,Product-165,339,12.22
GH,Product-166,747,73.51
KE,Product-167,530,95.65
ZA,Product-168,583,62.16
MA,Product-169,430,89.98
NG,Product-170,493,28.80
GH,Product-171,567,11.56
KE,Product-172,397,25.64
ZA,Product-173,279,9.15
MA,Product-174,314,6.94
NG,Product-175,987,24.63
GH,Product-176,169,78.31
KE,Product-177,437,56.70
ZA,Product-178,621,75.72
MA,Product-179,35,55.45
NG,Product-180,755,46.51
GH,Product-181,54,84.47
KE,Product-182,910,60.74
ZA,Product-183,719,33.77
MA,Product-184,233,63.40
NG,Product-185,374,58.54
GH,Product-186,250,57.65
KE,Product-187,190,65.51
ZA,Product-188,545,43.08
MA,Product-189,451,73.09
NG,Product-190,307,2.70
GH,Product-191,32,47.96
KE,Product-192,33,54.60
ZA,Product-193,225,87.11
MA,Product-194,301,30.33
NG,Product-195,799,13.25
GH,Product-196,710,21.57
KE,Product-197,140,66.13
ZA,Product-198,221,73.31
MA,Product-199,378,13.12
NG,Product-200,909,30.82
GH,Product-201,472,3.06
KE,Product-202,327,5.10
ZA,Product-203,713,8.24
MA,Product-204,238,69.76
NG,Product-205,915,20.21
GH,Product-206,268,71.13
KE,Product-207,943,78.12
ZA,Product-208,235,40.36
MA,Product-209,351,3.62
NG,Product-210,337,10.67
GH,Product-211,48,52.98
KE,Product-212,888,93.07
ZA,Product-213,529,29.86
MA,Product-214,808,46.28
NG,Product-215,851,78.92
GH,Product-216,641,36.72
KE,Product-217,702,0.27
ZA,Product-218,537,72.69
MA,Product-219,521,75.87
NG,Product-220,501,4.75
GH,Product-221,338,85.29
KE,Product-222,781,48.97
ZA,Product-223,299,53.37
MA,Product-224,599,4.46
NG,Product-225,826,64.13
GH,Product-226,91,70.17
KE,Product-227,250,51.20
ZA,Product-228,442,46.11
MA,Product-229,456,49.62
NG,Product-230,427,21.64
GH,Product-231,52,48.32
KE,Product-232,123,63.68
ZA,Product-233,860,76.73
MA,Product-234,388,16.46
NG,Product-235,516,11.37
GH,Product-236,272,24.78
KE,Product-237,115,55.39
ZA,Product-238,869,43.34
MA,Product-239,116,37.11
NG,Product-240,24,24.31
GH,Product-241,755,6.77
KE,Product-242,858,7.53
ZA,Product-243,581,59.99
MA,Product-244,177,91.37
NG,Product-245,365,36.95
GH,Product-246,879,18.97
KE,Product-247,223,55.09
ZA,Product-248,565,72.70
MA,Product-249,716,60.03
NG,Product-250,962,31.33
GH,Product-251,45,25.62
KE,Product-252,40,97.18
ZA,Product-253,617,39.99
MA,Product-254,770,51.16
NG,Product-255,462,83.14
GH,Product-256,369,5.92
KE,Product-257,93,32.79
ZA,Product-258,851,82.93
MA,Product-259,428,35.32
NG,Product-260,145,98.40
GH,Product-261,479,97.10
KE,Product-262,704,11.24
ZA,Product-263,791,63.00
MA,Product-264,442,70.99
NG,Product-265,585,45.17
GH,Product-266,339,94.07
KE,Product-267,499,63.12
ZA,Product-268,637,34.75
MA,Product-269,831,3.46
NG,Product-270,164,45.94
GH,Product-271,725,34.30
KE,Product-272,349,18.01
ZA,Product-273,745,15.90
MA,Product-274,847,66.77
NG,Product-275,481,90.81
GH,Product-276,466,31.33
KE,Product-277,477,96.33
ZA,Product-278,908,39.45
MA,Product-279,304,19.24
NG,Product-280,766,15.07
GH,Product-281,976,15.68
KE,Product-282,646,98.26
ZA,Product-283,326,12.35
MA,Product-284,684,13.72
NG,Product-285,722,23.96
GH,Product-286,146,29.14
KE,Product-287,791,74.69
ZA,Product-288,442,20.60
MA,Product-289,714,18.24
NG,Product-290,942,90.19
GH,Product-291,384,36.02
KE,Product-292,114,14.44
ZA,Product-293,599,33.97
MA,Product-294,52,8.71
NG,Product-295,965,49.79
GH,Product-296,910,1.93
KE,Product-297,488,47.09
ZA,Product-298,254,32.14
MA,Product-299,169,38.00
NG,Product-300,551,2.59
GH,Product-301,322,41.86
KE,Product-302,921,7.36
ZA,Product-303,98,24.31
MA,Product-304,580,79.07
NG,Product-305,531,66.26
GH,Product-306,512,76.27
KE,Product-307,542,51.24
ZA,Product-308,896,49.67
MA,Product-309,451,61.73
NG,Product-310,680,11.11
GH,Product-311,312,46.66
KE,Product-312,90,93.04
ZA,Product-313,619,6.72
MA,Product-314,885,38.71
NG,Product-315,229,74.64
GH,Product-316,132,44.06
KE,Product-317,412,60.77
ZA,Product-318,111,6.62
MA,Product-319,713,80.14
NG,Product-320,723,46.16
GH,Product-321,770,45.18
KE,Product-322,988,2.06
ZA,Product-323,440,86.54
MA,Product-324,45,16.51
NG,Product-325,276,60.15
GH,Product-326,301,84.09
KE,Product-327,339,45.88
ZA,Product-328,747,11.73
MA,Product-329,653,8.03
NG,Product-330,363,32.42
GH,Product-331,428,63.30
KE,Product-332,670,48.71
ZA,Product-333,555,24.63
MA,Product-334,900,61.78
NG,Product-335,805,79.19
GH,Product-336,703,33.22
KE,Product-337,691,20.38
ZA,Product-338,926,70.27
MA,Product-339,494,51.63
NG,Product-340,805,0.64
GH,Product-341,1,79.37
KE,Product-342,365,69.56
ZA,Product-343,19,0.40
MA,Product-344,106,59.32
NG,Product-345,230,13.50
GH,Product-346,115,25.02
KE,Product-347,690,14.60
ZA,Product-348,958,14.31
MA,Product-349,788,62.46
NG,Product-350,720,54.81
GH,Product-351,728,83.91
KE,Product-352,852,29.13
ZA,Product-353,876,46.61
MA,Product-354,123,31.97
NG,Product-355,632,26.67
GH,Product-356,431,94.92
KE,Product-357,198,52.05
ZA,Product-358,966,12.74
MA,Product-359,238,87.08
NG,Product-360,581,94.28
GH,Product-361,899,90.48
KE,Product-362,66,77.88
ZA,Product-363,947,86.02
MA,Product-364,991,98.12
NG,Product-365,296,61.29
GH,Product-366,907,68.44
KE,Product-367,762,24.54
ZA,Product-368,451,18.36
MA,Product-369,984,16.24
NG,Product-370,377,35.68
GH,Product-371,634,2.92
KE,Product-372,300,59.03
ZA,Product-373,137,40.81
MA,Product-374,20,86.22
NG,Product-375,888,2.34
GH,Product-376,182,5.65
KE,Product-377,842,46.74
ZA,Product-378,640,78.81
MA,Product-379,802,3.34
NG,Product-380,542,50.33
GH,Product-381,907,57.29
KE,Product-382,748,52.62
ZA,Product-383,227,33.55
MA,Product-384,85,5.69
NG,Product-385,820,10.16
GH,Product-386,612,49.06
KE,Product-387,256,42.88
ZA,Product-388,214,47.48
MA,Product-389,662,67.81
NG,Product-390,503,53.14
GH,Product-391,15,51.70
KE,Product-392,669,0.56
ZA,Product-393,644,93.86
MA,Product-394,598,24.11
NG,Product-395,926,57.06
GH,Product-396,213,76.54
KE,Product-397,389,86.67
ZA,Product-398,906,66.23
MA,Product-399,68,60.25
NG,Product-400,530,63.49
GH,Product-401,901,42.72
KE,Product-402,990,0.66
ZA,Product-403,131,78.57
MA,Product-404,809,74.91
NG,Product-405,817,66.44
GH,Product-406,974,7.81
KE,Product-407,416,56.81
ZA,Product-408,506,70.45
MA,Product-409,582,43.67
NG,Product-410,581,20.33
GH,Product-411,79,28.27
KE,Product-412,737,30.67
ZA,Product-413,510,72.31
MA,Product-414,645,94.64
NG,Product-415,717,99.23
GH,Product-416,439,45.20
KE,Product-417,960,59.82
ZA,Product-418,386,44.47
MA,Product-419,802,45.49
NG,Product-420,542,75.71
GH,Product-421,957,80.14
KE,Product-422,425,44.32
ZA,Product-423,949,75.71
MA,Product-424,425,43.28
NG,Product-425,257,66.54
GH,Product-426,931,84.45
KE,Product-427,980,14.80
ZA,Product-428,71,38.45
MA,Product-429,557,5.09
NG,Product-430,73,28.06
GH,Product-431,492,28.50
KE,Product-432,220,86.07
ZA,Product-433,336,79.10
MA,Product-434,958,21.63
NG,Product-435,286,92.11
GH,Product-436,565,20.50
KE,Product-437,910,24.60
ZA,Product-438,755,19.68
MA,Product-439,619,5.75
NG,Product-440,742,67.64
GH,Product-441,317,59.92
KE,Product-442,878,24.66
ZA,Product-443,593,86.16
MA,Product-444,936,53.76
NG,Product-445,961,78.97
GH,Product-446,776,4.81
KE,Product-447,195,78.73
ZA,Product-448,418,35.18
MA,Product-449,814,41.77
NG,Product-450,829,24.33
GH,Product-451,313,80.84
KE,Product-452,474,16.16
ZA,Product-453,695,31.35
MA,Product-454,659,28.35
NG,Product-455,732,74.41
GH,Product-456,32,77.99
KE,Product-457,835,90.09
ZA,Product-458,331,13.98
MA,Product-459,453,87.04
NG,Product-460,792,35.90
GH,Product-461,860,50.45
KE,Product-462,642,96.30
ZA,Product-463,738,47.11
MA,Product-464,297,94.57
NG,Product-465,496,36.15
GH,Product-466,140,51.37
KE,Product-467,561,17.21
ZA,Product-468,98,32.41
MA,Product-469,720,93.56
NG,Product-470,109,66.85
GH,Product-471,527,1.15
KE,Product-472,256,13.09
ZA,Product-473,236,69.56
MA,Product-474,65,35.91
NG,Product-475,283,15.95
GH,Product-476,979,46.50
KE,Product-477,752,25.51
ZA,Product-478,230,25.62
MA,Product-479,516,5.73
NG,Product-480,43,90.48
GH,Product-481,280,40.16
KE,Product-482,107,95.06
ZA,Product-483,736,30.57
MA,Product-484,644,48.71
NG,Product-485,420,55.30
GH,Product-486,654,78.23
KE,Product-487,935,0.90
ZA,Product-488,672,23.31
MA,Product-489,554,4.48
NG,Product-490,212,74.86
GH,Product-491,677,83.90
KE,Product-492,69,18.50
ZA,Product-493,418,61.69
MA,Product-494,960,35.28
NG,Product-495,771,19.60
GH,Product-496,155,74.89
KE,Product-497,861,3.92
ZA,Product-498,734,98.35
MA,Product-499,739,97.43
NG,Product-500,429,45.92
GH,Product-501,162,68.78
KE,Product-502,515,13.95
ZA,Product-503,143,79.39
MA,Product-504,933,70.42
NG,Product-505,459,84.35
GH,Product-506,549,60.25
KE,Product-507,528,92.02
ZA,Product-508,121,5.77
MA,Product-509,567,75.26
NG,Product-510,38,15.15
GH,Product-511,523,18.44
KE,Product-512,268,69.31
ZA,Product-513,175,51.14
MA,Product-514,925,52.26
NG,Product-515,570,24.14
GH,Product-516,132,39.13
KE,Product-517,602,72.99
ZA,Product-518,165,11.12
MA,Product-519,214,5.57
NG,Product-520,378,6.79
GH,Product-521,212,16.48
KE,Product-522,8,89.78
ZA,Product-523,36,26.52
MA,Product-524,452,33.61
NG,Product-525,449,64.21
GH,Product-526,822,85.45
KE,Product-527,982,1.64
ZA,Product-528,27,11.10
MA,Product-529,553,38.47
NG,Product-530,10,15.06
GH,Product-531,304,98.19
KE,Product-532,178,18.35
ZA,Product-533,879,38.89
MA,Product-534,136,55.53
NG,Product-535,744,0.45
GH,Product-536,319,71.67
KE,Product-537,342,24.51
ZA,Product-538,839,9.89
MA,Product-539,776,33.09
NG,Product-540,276,70.80
GH,Product-541,988,67.81
KE,Product-542,443,70.44
ZA,Product-543,214,48.80
MA,Product-544,984,16.11
NG,Product-545,142,88.44
GH,Product-546,237,88.45
KE,Product-547,538,85.98
ZA,Product-548,270,60.26
MA,Product-549,141,54.28
NG,Product-550,901,71.56
GH,Product-551,869,0.65
KE,Product-552,951,86.52
ZA,Product-553,385,18.03
MA,Product-554,329,1.14
NG,Product-555,892,96.34
GH,Product-556,309,10.69
KE,Product-557,164,38.57
ZA,Product-558,400,19.68
MA,Product-559,954,93.72
NG,Product-560,241,11.12
GH,Product-561,962,23.95
KE,Product-562,943,56.70
ZA,Product-563,723,5.85
MA,Product-564,25,21.66
NG,Product-565,425,16.08
GH,Product-566,859,63.66
KE,Product-567,927,70.34
ZA,Product-568,849,62.98
MA,Product-569,307,50.27
NG,Product-570,714,38.38
GH,Product-571,128,21.43
KE,Product-572,399,32.29
ZA,Product-573,450,7.25
MA,Product-574,929,35.68
NG,Product-575,872,40.08
GH,Product-576,944,50.08
KE,Product-577,97,39.66
ZA,Product-578,74,73.37
MA,Product-579,776,69.12
NG,Product-580,5,43.68
GH,Product-581,758,32.79
KE,Product-582,312,23.51
ZA,Product-583,210,56.24
MA,Product-584,649,53.43
NG,Product-585,87,51.51
GH,Product-586,319,2.59
KE,Product-587,691,22.39
ZA,Product-588,821,23.58
MA,Product-589,752,24.39
NG,Product-590,349,38.09
GH,Product-591,657,47.89
KE,Product-592,705,43.10
ZA,Product-593,518,94.10
MA,Product-594,823,12.96
NG,Product-595,8,90.75
GH,Product-596,266,90.16
KE,Product-597,192,62.00
ZA,Product-598,483,68.63
MA,Product-599,695,45.82
NG,Product-600,583,59.72
GH,Product-601,177,47.97
KE,Product-602,588,88.81
ZA,Product-603,320,0.11
MA,Product-604,35,53.12
NG,Product-605,510,48.68
GH,Product-606,73,32.53
KE,Product-607,852,25.92
ZA,Product-608,788,63.46
MA,Product-609,769,35.31
NG,Product-610,91,61.23
GH,Product-611,124,73.62
KE,Product-612,568,40.84
ZA,Product-613,880,63.52
MA,Product-614,866,3.11
NG,Product-615,925,41.48
GH,Product-616,314,92.64
KE,Product-617,899,74.32
ZA,Product-618,477,49.27
MA,Product-619,298,1.61
NG,Product-620,879,62.47
GH,Product-621,480,41.69
KE,Product-622,645,86.27
ZA,Product-623,418,7.98
MA,Product-624,261,45.58
NG,Product-625,802,48.42
GH,Product-626,172,32.07
KE,Product-627,476,59.98
ZA,Product-628,423,49.95
MA,Product-629,235,40.69
NG,Product-630,885,75.86
GH,Product-631,560,13.95
KE,Product-632,581,52.36
ZA,Product-633,621,78.19
MA,Product-634,950,36.16
NG,Product-635,141,43.26
GH,Product-636,556,36.37
KE,Product-637,521,12.19
ZA,Product-638,385,71.34
MA,Product-639,670,19.19
NG,Product-640,145,39.58
GH,Product-641,888,2.85
KE,Product-642,801,97.03
ZA,Product-643,575,70.72
MA,Product-644,636,88.12
NG,Product-645,104,28.00
GH,Product-646,820,10.99
KE,Product-647,521,96.31
ZA,Product-648,186,96.87
MA,Product-649,797,9.73
NG,Product-650,796,9.89
GH,Product-651,285,6.01
KE,Product-652,997,97.87
ZA,Product-653,232,70.62
MA,Product-654,273,77.08
NG,Product-655,330,1.58
GH,Product-656,503,80.07
KE,Product-657,990,95.15
ZA,Product-658,832,77.13
MA,Product-659,529,35.88
NG,Product-660,224,63.97
GH,Product-661,367,21.02
KE,Product-662,847,57.12
ZA,Product-663,103,9.96
MA,Product-664,721,87.98
NG,Product-665,740,65.91
GH,Product-666,937,21.29
KE,Product-667,71,64.74
ZA,Product-668,218,28.34
MA,Product-669,331,58.41
NG,Product-670,582,77.29
GH,Product-671,743,69.90
KE,Product-672,116,88.74
ZA,Product-673,546,3.52
MA,Product-674,904,9.66
NG,Product-675,756,27.64
GH,Product-676,996,70.20
KE,Product-677,213,58.38
ZA,Product-678,15,72.77
MA,Product-679,937,73.60
NG,Product-680,11,8.17
GH,Product-681,365,81.96
KE,Product-682,259,52.75
ZA,Product-683,923,30.66
MA,Product-684,858,55.98
NG,Product-685,389,87.04
GH,Product-686,132,8.49
KE,Product-687,719,20.56
ZA,Product-688,407,75.31
MA,Product-689,160,57.08
NG,Product-690,383,0.16
GH,Product-691,658,63.46
KE,Product-692,345,59.23
ZA,Product-693,105,43.81
MA,Product-694,674,9.53
NG,Product-695,475,63.88
GH,Product-696,769,86.55
KE,Product-697,400,46.09
ZA,Product-698,331,89.72
MA,Product-699,464,53.06
NG,Product-700,556,15.16
GH,Product-701,711,19.33
KE,Product-702,321,4.72
ZA,Product-703,982,5.59
MA,Product-704,466,20.05
NG,Product-705,899,44.61
GH,Product-706,433,64.11
KE,Product-707,85,47.46
ZA,Product-708,915,45.81
MA,Product-709,995,17.75
NG,Product-710,223,75.80
GH,Product-711,632,52.22
KE,Product-712,658,87.85
ZA,Product-713,547,43.56
MA,Product-714,327,63.32
NG,Product-715,34,27.79
GH,Product-716,906,7.29
KE,Product-717,177,45.37
ZA,Product-718,422,81.38
MA,Product-719,803,31.07
NG,Product-720,924,61.79
GH,Product-721,419,11.32
KE,Product-722,277,30.83
ZA,Product-723,422,11.80
MA,Product-724,816,90.91
NG,Product-725,734,12.52
GH,Product-726,125,60.29
KE,Product-727,53,34.47
ZA,Product-728,559,49.02
MA,Product-729,585,29.45
NG,Product-730,727,92.10
GH,Product-731,34,36.84
KE,Product-732,924,80.61
ZA,Product-733,346,20.48
MA,Product-734,395,33.05
NG,Product-735,364,80.19
GH,Product-736,407,83.86
KE,Product-737,965,63.76
ZA,Product-738,459,61.93
MA,Product-739,171,6.52
NG,Product-740,116,9.44
GH,Product-741,406,22.27
KE,Product-742,82,7.39
ZA,Product-743,833,2.60
MA,Product-744,735,18.62
NG,Product-745,119,77.14
GH,Product-746,140,63.20
KE,Product-747,459,80.24
ZA,Product-748,711,72.32
MA,Product-749,225,28.07
NG,Product-750,375,73.14
GH,Product-751,850,70.31
KE,Product-752,360,58.91
ZA,Product-753,824,54.97
MA,Product-754,597,64.67
NG,Product-755,863,87.29
GH,Product-756,243,53.86
KE,Product-757,683,18.24
ZA,Product-758,643,75.73
MA,Product-759,328,10.89
NG,Product-760,803,18.25
GH,Product-761,959,30.69
KE,Product-762,768,72.69
ZA,Product-763,812,48.85
MA,Product-764,562,7.02
NG,Product-765,719,22.51
GH,Product-766,346,58.56
KE,Product-767,94,11.86
ZA,Product-768,89,11.05
MA,Product-769,587,67.54
NG,Product-770,719,22.80
GH,Product-771,560,98.80
KE,Product-772,520,95.51
ZA,Product-773,563,88.27
MA,Product-774,922,20.78
NG,Product-775,45,30.47
GH,Product-776,477,21.70
KE,Product-777,582,61.72
ZA,Product-778,247,79.81
MA,Product-779,561,96.84
NG,Product-780,329,70.89
GH,Product-781,337,45.11
KE,Product-782,181,19.67
ZA,Product-783,366,16.63
MA,Product-784,495,52.62
NG,Product-785,41,34.81
GH,Product-786,955,95.88
KE,Product-787,289,23.63
ZA,Product-788,765,89.64
MA,Product-789,275,87.70
NG,Product-790,1,15.12
GH,Product-791,344,99.66
KE,Product-792,131,91.80
ZA,Product-793,479,27.10
MA,Product-794,827,43.40
NG,Product-795,678,94.49
GH,Product-796,777,13.71
KE,Product-797,454,15.69
ZA,Product-798,738,64.47
MA,Product-799,159,9.80
NG,Product-800,329,35.87
GH,Product-801,108,40.44
KE,Product-802,619,48.79
ZA,Product-803,876,46.60
MA,Product-804,425,4.78
NG,Product-805,825,63.55
GH,Product-806,376,28.22
KE,Product-807,644,41.10
ZA,Product-808,768,30.84
MA,Product-809,578,1.84
NG,Product-810,869,75.01
GH,Product-811,706,72.42
KE,Product-812,269,92.97
ZA,Product-813,109,68.36
MA,Product-814,990,72.08
NG,Product-815,67,82.38
GH,Product-816,155,24.67
KE,Product-817,683,14.06
ZA,Product-818,611,53.88
MA,Product-819,266,7.23
NG,Product-820,528,78.16
GH,Product-821,924,44.68
KE,Product-822,511,10.67
ZA,Product-823,788,22.10
MA,Product-824,427,69.00
NG,Product-825,288,93.74
GH,Product-826,914,88.53
KE,Product-827,978,76.03
ZA,Product-828,860,49.29
MA,Product-829,40,34.26
NG,Product-830,590,72.44
GH,Product-831,578,97.59
KE,Product-832,464,97.75
ZA,Product-833,398,6.63
MA,Product-834,40,77.03
NG,Product-835,199,22.11
GH,Product-836,572,91.83
KE,Product-837,783,17.63
ZA,Product-838,4,37.10
MA,Product-839,91,68.05
NG,Product-840,231,36.33
GH,Product-841,288,68.86
KE,Product-842,33,40.85
ZA,Product-843,859,94.26
MA,Product-844,872,35.48
NG,Product-845,957,1.47
GH,Product-846,628,76.78
KE,Product-847,389,61.94
ZA,Product-848,50,75.40
MA,Product-849,92,42.10
NG,Product-850,112,69.90
GH,Product-851,537,7.62
KE,Product-852,686,52.97
ZA,Product-853,566,20.88
MA,Product-854,389,71.15
NG,Product-855,134,17.19
GH,Product-856,232,78.77
KE,Product-857,392,83.83
ZA,Product-858,609,75.64
MA,Product-859,232,74.44
NG,Product-860,74,63.13
GH,Product-861,634,66.14
KE,Product-862,863,25.76
ZA,Product-863,942,81.80
MA,Product-864,271,79.01
NG,Product-865,50,73.19
GH,Product-866,445,69.73
KE,Product-867,651,73.80
ZA,Product-868,305,60.77
MA,Product-869,374,69.77
NG,Product-870,46,46.66
GH,Product-871,15,33.87
KE,Product-872,842,62.38
ZA,Product-873,643,80.48
MA,Product-874,430,49.33
NG,Product-875,862,15.51
GH,Product-876,650,85.67
KE,Product-877,61,66.31
ZA,Product-878,139,91.26
MA,Product-879,964,64.74
NG,Product-880,971,72.92
GH,Product-881,689,66.34
KE,Product-882,543,73.21
ZA,Product-883,637,59.30
MA,Product-884,746,39.54
NG,Product-885,269,94.19
GH,Product-886,117,64.00
KE,Product-887,76,27.58
ZA,Product-888,82,39.51
MA,Product-889,898,89.17
NG,Product-890,120,45.92
GH,Product-891,784,82.03
KE,Product-892,887,97.64
ZA,Product-893,569,80.02
MA,Product-894,230,30.95
NG,Product-895,599,65.40
GH,Product-896,411,8.26
KE,Product-897,921,46.47
ZA,Product-898,812,61.44
MA,Product-899,863,50.93
NG,Product-900,134,18.08
GH,Product-901,132,22.91
KE,Product-902,127,73.56
ZA,Product-903,220,85.57
MA,Product-904,740,37.53
NG,Product-905,484,45.57
GH,Product-906,717,81.34
KE,Product-907,734,40.27
ZA,Product-908,178,24.45
MA,Product-909,832,22.42
NG,Product-910,475,56.19
GH,Product-911,435,54.36
KE,Product-912,110,33.57
ZA,Product-913,494,49.76
MA,Product-914,593,47.67
NG,Product-915,819,71.22
GH,Product-916,654,55.79
KE,Product-917,162,54.03
ZA,Product-918,948,17.03
MA,Product-919,94,22.28
NG,Product-920,153,90.53
GH,Product-921,670,87.47
KE,Product-922,66,68.15
ZA,Product-923,925,35.11
MA,Product-924,177,60.67
NG,Product-925,340,2.95
GH,Product-926,888,96.06
KE,Product-927,602,52.08
ZA,Product-928,112,92.23
MA,Product-929,683,91.93
NG,Product-930,342,22.46
GH,Product-931,709,47.32
KE,Product-932,386,40.16
ZA,Product-933,994,87.06
MA,Product-934,788,32.66
NG,Product-935,635,37.43
GH,Product-936,101,35.59
KE,Product-937,308,11.37
ZA,Product-938,253,34.74
MA,Product-939,52,12.14
NG,Product-940,556,75.88
GH,Product-941,237,67.21
KE,Product-942,775,67.84
ZA,Product-943,935,24.61
MA,Product-944,368,31.58
NG,Product-945,878,47.07
GH,Product-946,677,77.55
KE,Product-947,403,0.39
ZA,Product-948,578,0.88
MA,Product-949,839,29.15
NG,Product-950,544,81.06
GH,Product-951,703,71.31
KE,Product-952,538,27.46
ZA,Product-953,953,35.55
MA,Product-954,50,36.98
NG,Product-955,837,21.59
GH,Product-956,971,4.80
KE,Product-957,139,72.20
ZA,Product-958,40,53.60
MA,Product-959,572,88.31
NG,Product-960,903,70.01
GH,Product-961,869,45.03
KE,Product-962,103,19.35
ZA,Product-963,191,8.37
MA,Product-964,398,81.86
NG,Product-965,331,25.55
GH,Product-966,637,71.31
KE,Product-967,532,11.84
ZA,Product-968,545,84.83
MA,Product-969,632,31.13
NG,Product-970,404,97.29
GH,Product-971,513,76.80
KE,Product-972,147,25.64
ZA,Product-973,362,48.11
MA,Product-974,385,10.56
NG,Product-975,233,8.55
GH,Product-976,420,54.80
KE,Product-977,743,41.44
ZA,Product-978,420,44.97
MA,Product-979,838,54.23
NG,Product-980,568,30.21
GH,Product-981,298,53.71
KE,Product-982,496,37.27
ZA,Product-983,586,82.97
