country,product,quantity,price
ZA,product-152,795,65.48
MA,product-153,663,4.74
MA,product-154,979,87.71
KE,product-155,633,82.05
KE,product-156,495,40.26
MA,product-157,775,36.80
MA,product-158,968,84.50
KE,product-159,701,13.78
ZA,product-160,954,70.33
ZA,product-161,401,85.59
NG,product-162,14,33.36
NG,product-163,991,45.85
NG,product-164,766,53.53
ZA,product-165,683,6.21
KE,product-166,673,77.19
NG,product-167,215,17.62
MA,product-168,497,97.30
GH,product-169,349,9.44
KE,product-170,158,52.77
ZA,product-171,220,26.79
KE,product-172,516,31.01
NG,product-173,170,90.04
ZA,product-174,11,55.29
ZA,product-175,634,46.38
GH,product-176,888,93.23
NG,product-177,127,97.08
ZA,product-178,231,50.31
NG,product-179,501,24.92
GH,product-180,474,4.46
NG,product-181,897,41.86
MA,product-182,823,7.31
ZA,product-183,500,14.69
NG,product-184,580,53.99
KE,product-185,595,42.56
KE,product-186,361,38.21
NG,product-187,381,15.70
KE,product-188,937,86.27
NG,product-189,562,34.68
KE,product-190,727,9.20
MA,product-191,582,68.12
ZA,product-192,515,90.24
ZA,product-193,670,58.57
ZA,product-194,427,50.42
ZA,product-195,443,42.28
GH,product-196,165,67.54
ZA,product-197,801,53.96
NG,product-198,681,77.04
NG,product-199,561,33.01
GH,product-200,438,14.65
KE,product-201,903,77.49
MA,product-202,987,61.72
NG,product-203,614,7.41
NG,product-204,637,25.89
MA,product-205,214,44.21
KE,product-206,548,13.16
ZA,product-207,839,58.87
MA,product-208,657,89.39
MA,product-209,124,15.16
NG,product-210,481,30.55
KE,product-211,107,33.63
MA,product-212,201,90.82
NG,product-213,724,7.44
NG,product-214,822,97.29
GH,product-215,147,14.04
MA,product-216,172,54.37
GH,product-217,589,31.39
NG,product-218,956,53.12
ZA,product-219,248,98.39
GH,product-220,169,71.13
GH,product-221,256,85.97
MA,product-222,684,11.68
ZA,product-223,732,57.98
ZA,product-224,560,91.59
NG,product-225,503,47.84
KE,product-226,634,66.70
GH,product-227,232,44.19
GH,product-228,782,5.69
KE,product-229,18,55.99
MA,product-230,809,79.49
KE,product-231,257,94.00
MA,product-232,646,10.79
MA,product-233,891,87.03
NG,product-234,752,63.72
GH,product-235,453,22.30
MA,product-236,710,66.11
NG,product-237,162,58.40
KE,product-238,371,23.60
KE,product-239,564,1.89
MA,product-240,702,20.53
MA,product-241,3,14.31
ZA,product-242,410,15.88
KE,product-243,928,12.93
MA,product-244,419,63.85
KE,product-245,772,23.34
GH,product-246,982,48.46
GH,product-247,686,50.24
KE,product-248,81,95.85
NG,product-249,81,80.17
KE,product-250,574,13.46
ZA,product-251,915,66.80
KE,product-252,705,39.49
ZA,product-253,979,45.16
GH,product-254,948,62.70
MA,product-255,512,22.56
ZA,product-256,400,41.34
MA,product-257,975,1.86
GH,product-258,754,41.49
ZA,product-259,772,11.28
NG,product-260,313,95.00
MA,product-261,33,92.82
NG,product-262,487,12.73
NG,product-263,388,86.68
GH,product-264,876,69.28
GH,product-265,363,30.88
ZA,product-266,286,35.67
ZA,product-267,327,23.36
ZA,product-268,134,34.53
ZA,product-269,532,1.21
NG,product-270,570,39.70
NG,product-271,640,45.15
MA,product-272,433,29.83
ZA,product-273,326,93.02
ZA,product-274,783,46.40
KE,product-275,479,5.37
MA,product-276,596,54.17
KE,product-277,67,92.21
NG,product-278,303,31.87
ZA,product-279,485,19.92
KE,product-280,288,55.02
ZA,product-281,730,40.18
GH,product-282,101,29.09
MA,product-283,474,28.46
GH,product-284,189,33.02
KE,product-285,693,59.14
GH,product-286,109,91.86
KE,product-287,680,96.58
KE,product-288,731,28.16
KE,product-289,743,85.48
NG,product-290,634,24.80
GH,product-291,282,34.46
NG,product-292,539,5.86
NG,product-293,391,20.94
GH,product-294,441,29.75
GH,product-295,948,84.25
ZA,product-296,633,44.59
MA,product-297,892,75.93
KE,product-298,969,52.14
NG,product-299,563,68.92
MA,product-300,59,94.81
ZA,product-301,40,12.89
ZA,product-302,19,35.24
MA,product-303,502,33.30
NG,product-304,375,8.00
ZA,product-305,316,82.57
NG,product-306,142,97.76
MA,product-307,980,31.38
ZA,product-308,270,71.53
GH,product-309,618,60.16
MA,product-310,383,87.19
MA,product-311,177,41.78
KE,product-312,380,17.89
ZA,product-313,596,88.74
ZA,product-314,951,20.73
GH,product-315,347,82.13
GH,product-316,358,85.02
GH,product-317,767,67.17
MA,product-318,960,3.85
NG,product-319,772,11.51
ZA,product-320,782,36.10
MA,product-321,47,6.85
MA,product-322,77,76.00
MA,product-323,752,75.78
KE,product-324,755,34.20
NG,product-325,265,74.49
ZA,product-326,100,27.59
KE,product-327,671,83.20
NG,product-328,538,21.30
KE,product-329,160,7.74
ZA,product-330,942,69.46
MA,product-331,851,29.65
NG,product-332,22,55.91
MA,product-333,566,6.29
KE,product-334,649,69.40
NG,product-335,858,93.28
NG,product-336,371,76.62
MA,product-337,617,33.99
NG,product-338,357,42.73
NG,product-339,397,98.34
MA,product-340,840,83.61
KE,product-341,517,79.78
MA,product-342,801,6.92
KE,product-343,871,50.46
MA,product-344,937,2.20
ZA,product-345,315,48.49
NG,product-346,820,23.85
ZA,product-347,773,86.79
NG,product-348,309,74.56
ZA,product-349,439,22.60
ZA,product-350,422,88.58
ZA,product-351,696,57.16
NG,product-352,799,20.70
NG,product-353,312,65.78
NG,product-354,190,88.14
MA,product-355,850,47.20
NG,product-356,46,76.08
NG,product-357,845,80.64
ZA,product-358,13,11.24
KE,product-359,826,85.18
MA,product-360,712,27.33
KE,product-361,952,51.37
ZA,product-362,212,84.94
KE,product-363,716,62.87
MA,product-364,175,59.12
GH,product-365,306,20.66
KE,product-366,198,50.97
GH,product-367,701,56.46
MA,product-368,647,63.24
MA,product-369,857,38.82
GH,product-370,229,56.49
MA,product-371,105,26.62
MA,product-372,252,27.08
MA,product-373,119,47.38
ZA,product-374,184,47.93
MA,product-375,466,50.62
MA,product-376,416,6.29
MA,product-377,79,58.75
KE,product-378,848,80.18
GH,product-379,573,12.07
KE,product-380,895,62.45
NG,product-381,556,47.62
KE,product-382,772,34.03
KE,product-383,280,3.88
KE,product-384,779,46.15
MA,product-385,939,3.84
GH,product-386,241,43.40
ZA,product-387,580,55.03
NG,product-388,777,60.81
KE,product-389,162,95.36
GH,product-390,75,11.71
ZA,product-391,957,43.22
MA,product-392,815,58.15
KE,product-393,433,19.50
MA,product-394,3,93.64
GH,product-395,258,76.34
GH,product-396,274,26.93
KE,product-397,409,82.04
NG,product-398,76,86.39
KE,product-399,240,13.49
KE,product-400,86,22.41
ZA,product-401,225,22.70
GH,product-402,752,86.16
GH,product-403,368,79.45
GH,product-404,606,36.24
KE,product-405,843,0.60
MA,product-406,46,12.99
ZA,product-407,303,7.03
MA,product-408,603,25.36
MA,product-409,516,19.56
ZA,product-410,75,54.79
ZA,product-411,21,87.77
KE,product-412,286,4.00
GH,product-413,412,71.65
GH,product-414,817,94.83
GH,product-415,837,58.80
NG,product-416,756,21.68
MA,product-417,489,61.12
ZA,product-418,398,3.11
GH,product-419,885,26.92
GH,product-420,607,29.49
NG,product-421,451,75.33
GH,product-422,329,99.70
NG,product-423,929,1.51
MA,product-424,461,33.50
GH,product-425,195,88.32
ZA,product-426,358,1.05
NG,product-427,123,25.38
GH,product-428,218,95.46
KE,product-429,741,11.75
GH,product-430,294,62.44
MA,product-431,913,21.14
ZA,product-432,451,46.90
MA,product-433,619,84.13
ZA,product-434,47,50.16
GH,product-435,132,8.30
GH,product-436,266,96.96
GH,product-437,480,18.47
KE,product-438,404,76.39
NG,product-439,874,36.30
KE,product-440,766,73.04
GH,product-441,818,94.77
NG,product-442,939,6.00
GH,product-443,187,46.83
GH,product-444,612,85.16
GH,product-445,753,57.84
NG,product-446,813,20.37
KE,product-447,81,11.19
ZA,product-448,749,53.48
KE,product-449,727,84.12
ZA,product-450,653,97.35
MA,product-451,452,75.28
ZA,product-452,94,31.29
NG,product-453,902,68.25
KE,product-454,657,97.06
MA,product-455,392,46.36
NG,product-456,240,86.63
ZA,product-457,238,88.45
KE,product-458,338,94.18
ZA,product-459,38,95.46
ZA,product-460,749,1.27
MA,product-461,418,54.07
NG,product-462,712,84.16
KE,product-463,68,1.26
ZA,product-464,244,40.21
MA,product-465,214,78.32
KE,product-466,880,25.39
ZA,product-467,930,60.73
MA,product-468,689,37.58
KE,product-469,432,36.01
GH,product-470,363,56.97
NG,product-471,32,54.49
ZA,product-472,674,54.83
MA,product-473,761,46.11
MA,product-474,358,77.85
ZA,product-475,244,1.92
MA,product-476,46,39.01
ZA,product-477,105,71.84
ZA,product-478,827,55.60
NG,product-479,271,16.98
MA,product-480,737,63.65
KE,product-481,655,49.88
MA,product-482,633,39.61
GH,product-483,52,93.38
NG,product-484,766,52.51
MA,product-485,660,75.11
ZA,product-486,102,37.25
GH,product-487,847,51.75
KE,product-488,162,46.47
KE,product-489,510,38.11
GH,product-490,75,0.52
NG,product-491,216,8.98
GH,product-492,534,30.99
KE,product-493,181,38.93
MA,product-494,675,61.55
NG,product-495,899,51.71
ZA,product-496,955,73.57
NG,product-497,625,75.76
KE,product-498,296,9.47
KE,product-499,825,88.13
KE,product-500,317,15.71
NG,product-501,298,73.11
ZA,product-502,760,0.31
GH,product-503,541,93.82
NG,product-504,194,49.60
ZA,product-505,653,83.45
MA,product-506,454,39.28
NG,product-507,80,59.47
KE,product-508,990,15.66
NG,product-509,322,99.63
NG,product-510,123,32.38
GH,product-511,651,77.74
KE,product-512,283,40.69
ZA,product-513,511,15.55
ZA,product-514,501,73.26
GH,product-515,924,69.84
MA,product-516,396,0.23
NG,product-517,169,41.57
KE,product-518,50,74.18
NG,product-519,257,99.43
GH,product-520,638,74.39
KE,product-521,821,73.90
KE,product-522,716,72.20
MA,product-523,779,17.49
KE,product-524,682,87.40
KE,product-525,349,29.63
KE,product-526,127,34.33
MA,product-527,931,99.93
GH,product-528,798,38.29
MA,product-529,225,81.17
KE,product-530,184,9.04
GH,product-531,594,25.62
ZA,product-532,207,1.74
MA,product-533,255,74.84
ZA,product-534,365,64.61
MA,product-535,161,6.37
MA,product-536,945,96.54
NG,product-537,679,82.40
KE,product-538,422,28.50
KE,product-539,192,87.05
GH,product-540,199,94.85
MA,product-541,854,5.89
NG,product-542,167,65.39
MA,product-543,447,31.28
GH,product-544,151,79.46
GH,product-545,63,21.27
GH,product-546,884,39.44
MA,product-547,130,28.38
GH,product-548,409,55.06
KE,product-549,783,59.60
ZA,product-550,716,78.69
NG,product-551,464,5.09
KE,product-552,842,75.22
GH,product-553,253,27.23
KE,product-554,439,97.91
GH,product-555,241,16.76
ZA,product-556,870,63.71
KE,product-557,802,26.08
KE,product-558,932,86.58
GH,product-559,141,60.70
GH,product-560,152,65.05
ZA,product-561,699,23.34
GH,product-562,961,38.36
ZA,product-563,920,41.17
ZA,product-564,177,33.90
NG,product-565,721,57.93
NG,product-566,741,0.69
MA,product-567,728,60.00
NG,product-568,139,66.36
ZA,product-569,251,52.78
KE,product-570,281,35.86
NG,product-571,410,42.21
MA,product-572,847,7.45
GH,product-573,613,95.19
KE,product-574,0,79.73
ZA,product-575,41,51.75
ZA,product-576,826,87.71
KE,product-577,892,88.17
KE,product-578,883,98.21
ZA,product-579,261,74.59
KE,product-580,627,32.38
GH,product-581,735,83.96
NG,product-582,785,6.04
ZA,product-583,762,12.88
KE,product-584,508,5.13
MA,product-585,37,69.71
ZA,product-586,369,69.44
ZA,product-587,540,78.61
NG,product-588,883,80.96
ZA,product-589,267,43.74
NG,product-590,298,62.59
ZA,product-591,129,36.56
MA,product-592,777,26.99
MA,product-593,607,46.92
NG,product-594,657,98.10
ZA,product-595,0,52.53
ZA,product-596,819,32.11
GH,product-597,208,86.25
ZA,product-598,850,49.63
ZA,product-599,840,98.92
MA,product-600,806,18.90
GH,product-601,299,14.44
KE,product-602,816,83.20
MA,product-603,1,54.05
MA,product-604,677,86.46
GH,product-605,357,74.20
GH,product-606,191,95.22
NG,product-607,607,87.70
GH,product-608,37,76.86
ZA,product-609,739,79.02
NG,product-610,284,85.39
NG,product-611,994,3.99
KE,product-612,362,70.04
ZA,product-613,244,55.86
MA,product-614,454,57.37
ZA,product-615,951,28.72
KE,product-616,567,76.75
GH,product-617,886,6.45
GH,product-618,91,19.44
MA,product-619,992,62.62
NG,product-620,841,20.80
GH,product-621,675,86.67
MA,product-622,181,58.00
NG,product-623,690,9.24
KE,product-624,484,61.28
MA,product-625,572,48.90
KE,product-626,241,64.89
ZA,product-627,516,53.97
KE,product-628,187,85.29
MA,product-629,217,46.64
ZA,product-630,35,5.50
KE,product-631,401,0.40
MA,product-632,784,87.11
NG,product-633,237,54.39
ZA,product-634,277,84.45
ZA,product-635,797,19.97
ZA,product-636,734,8.40
NG,product-637,956,64.80
MA,product-638,524,71.82
NG,product-639,855,42.15
KE,product-640,51,61.20
GH,product-641,681,5.92
MA,product-642,206,36.64
NG,product-643,93,71.82
GH,product-644,95,42.54
KE,product-645,859,1.69
KE,product-646,665,49.79
GH,product-647,382,48.90
GH,product-648,888,37.16
KE,product-649,167,44.21
NG,product-650,185,1.79
MA,product-651,625,7.45
MA,product-652,258,90.42
GH,product-653,976,57.10
ZA,product-654,757,83.80
GH,product-655,462,21.65
ZA,product-656,32,43.83
MA,product-657,331,30.64
NG,product-658,757,17.50
MA,product-659,400,1.22
KE,product-660,695,61.65
KE,product-661,831,78.79
ZA,product-662,299,58.52
ZA,product-663,791,84.84
NG,product-664,259,7.17
KE,product-665,905,19.04
KE,product-666,746,66.44
ZA,product-667,282,41.30
GH,product-668,565,82.67
MA,product-669,452,90.34
ZA,product-670,665,85.04
GH,product-671,343,96.23
KE,product-672,338,88.88
ZA,product-673,996,35.16
MA,product-674,711,55.41
ZA,product-675,526,13.62
KE,product-676,675,31.27
ZA,product-677,492,95.09
NG,product-678,792,22.42
GH,product-679,623,36.36
GH,product-680,560,12.18
GH,product-681,64,22.31
ZA,product-682,602,64.90
NG,product-683,714,79.05
ZA,product-684,336,62.18
ZA,product-685,357,9.54
ZA,product-686,464,4.61
GH,product-687,325,2.94
ZA,product-688,929,89.24
ZA,product-689,770,63.77
NG,product-690,343,95.77
KE,product-691,687,97.45
GH,product-692,239,79.74
ZA,product-693,5,89.87
GH,product-694,778,68.17
KE,product-695,40,11.72
KE,product-696,560,76.80
KE,product-697,837,56.66
NG,product-698,895,10.96
KE,product-699,187,95.56
NG,product-700,638,53.56
KE,product-701,441,36.12
NG,product-702,897,41.27
NG,product-703,458,74.92
NG,product-704,221,55.81
MA,product-705,959,82.54
ZA,product-706,257,38.10
ZA,product-707,229,18.66
MA,product-708,667,57.74
GH,product-709,637,39.34
NG,product-710,965,78.18
KE,product-711,465,62.32
MA,product-712,744,97.29
GH,product-713,220,55.81
GH,product-714,690,12.91
NG,product-715,582,7.29
ZA,product-716,259,10.80
KE,product-717,558,69.78
KE,product-718,717,51.02
MA,product-719,635,49.31
GH,product-720,737,71.36
ZA,product-721,589,60.33
GH,product-722,478,54.70
MA,product-723,310,41.71
GH,product-724,906,43.35
MA,product-725,64,3.99
ZA,product-726,932,11.85
GH,product-727,219,19.87
ZA,product-728,230,56.87
KE,product-729,562,99.06
KE,product-730,114,5.93
MA,product-731,66,34.15
NG,product-732,110,60.70
NG,product-733,436,77.57
KE,product-734,556,50.47
GH,product-735,182,5.28
ZA,product-736,126,40.19
GH,product-737,469,28.57
NG,product-738,578,65.75
MA,product-739,364,54.51
NG,product-740,114,1.42
NG,product-741,530,31.52
GH,product-742,710,61.80
NG,product-743,862,92.58
KE,product-744,465,41.82
NG,product-745,707,60.52
KE,product-746,311,77.68
MA,product-747,319,2.26
MA,product-748,196,81.56
ZA,product-749,545,88.07
ZA,product-750,725,67.68
KE,product-751,699,72.25
ZA,product-752,371,37.72
ZA,product-753,679,90.52
GH,product-754,973,91.78
MA,product-755,714,49.53
NG,product-756,912,9.62
GH,product-757,503,98.89
MA,product-758,231,26.31
MA,product-759,981,47.23
MA,product-760,242,6.87
MA,product-761,884,39.65
ZA,product-762,550,31.95
NG,product-763,480,37.42
NG,product-764,72,78.44
GH,product-765,902,70.05
ZA,product-766,795,90.44
MA,product-767,75,5.41
MA,product-768,34,70.29
NG,product-769,649,20.31
ZA,product-770,329,96.06
MA,product-771,280,39.26
ZA,product-772,571,22.39
MA,product-773,830,95.80
KE,product-774,257,56.47
NG,product-775,992,50.19
GH,product-776,117,7.06
GH,product-777,465,94.98
MA,product-778,733,50.89
KE,product-779,323,23.28
KE,product-780,645,60.87
MA,product-781,321,47.52
ZA,product-782,333,13.42
NG,product-783,624,51.24
ZA,product-784,134,74.82
NG,product-785,572,94.92
GH,product-786,310,33.38
MA,product-787,403,2.03
GH,product-788,396,39.55
NG,product-789,117,16.67
MA,product-790,244,91.90
MA,product-791,633,10.63
KE,product-792,234,87.90
MA,product-793,680,26.75
NG,product-794,951,46.67
KE,product-795,15,13.73
ZA,product-796,780,77.58
KE,product-797,103,97.13
KE,product-798,944,63.40
NG,product-799,892,28.51
KE,product-800,899,80.68
MA,product-801,425,3.25
NG,product-802,121,25.52
ZA,product-803,879,64.84
NG,product-804,340,14.10
ZA,product-805,798,24.13
MA,product-806,979,80.34
KE,product-807,412,67.88
GH,product-808,882,38.68
GH,product-809,299,31.47
MA,product-810,364,67.66
ZA,product-811,767,20.24
ZA,product-812,542,98.32
KE,product-813,345,16.38
ZA,product-814,850,74.71
KE,product-815,399,22.26
GH,product-816,218,92.55
ZA,product-817,962,66.78
MA,product-818,479,76.82
MA,product-819,521,77.42
GH,product-820,60,7.58
MA,product-821,44,56.87
NG,product-822,106,44.42
GH,product-823,485,39.67
ZA,product-824,776,74.26
NG,product-825,935,89.91
NG,product-826,110,27.94
NG,product-827,456,35.98
NG,product-828,174,5.05
NG,product-829,840,84.00
ZA,product-830,341,46.05
ZA,product-831,539,91.15
ZA,product-832,167,97.19
GH,product-833,567,8.63
GH,product-834,533,46.50
KE,product-835,116,3.75
GH,product-836,986,26.61
KE,product-837,143,89.55
KE,product-838,828,7.86
GH,product-839,835,97.22
MA,product-840,668,92.93
NG,product-841,654,81.96
NG,product-842,803,11.50
KE,product-843,679,89.21
GH,product-844,888,51.97
GH,product-845,786,51.30
ZA,product-846,243,41.50
ZA,product-847,463,6.48
KE,product-848,848,85.33
GH,product-849,337,53.97
ZA,product-850,338,89.76
ZA,product-851,338,97.89
NG,product-852,652,26.84
KE,product-853,112,17.36
ZA,product-854,930,54.73
ZA,product-855,191,89.91
ZA,product-856,139,6.96
KE,product-857,225,20.92
ZA,product-858,544,51.66
KE,product-859,999,50.42
NG,product-860,662,51.87
ZA,product-861,512,4.67
GH,product-862,950,91.91
ZA,product-863,226,67.89
MA,product-864,76,44.16
MA,product-865,422,88.42
NG,product-866,117,63.83
ZA,product-867,130,86.90
MA,product-868,29,3.61
NG,product-869,468,8.15
NG,product-870,745,16.09
ZA,product-871,915,53.74
NG,product-872,627,75.13
ZA,product-873,995,47.41
GH,product-874,378,36.94
NG,product-875,717,66.92
ZA,product-876,57,89.00
MA,product-877,637,98.18
NG,product-878,349,75.41
GH,product-879,932,53.10
NG,product-880,199,19.91
ZA,product-881,142,63.50
KE,product-882,244,65.13
NG,product-883,962,66.12
NG,product-884,543,95.09
MA,product-885,57,89.44
NG,product-886,393,38.32
MA,product-887,858,75.34
MA,product-888,736,97.50
MA,product-889,262,43.85
GH,product-890,216,81.95
ZA,product-891,812,46.91
MA,product-892,981,97.47
NG,product-893,877,37.70
GH,product-894,391,83.70
ZA,product-895,42,24.99
NG,product-896,272,14.42
MA,product-897,226,81.06
KE,product-898,715,73.75
MA,product-899,161,87.84
MA,product-900,326,64.65
ZA,product-901,594,78.82
ZA,product-902,727,70.52
KE,product-903,66,46.76
MA,product-904,853,75.97
MA,product-905,445,53.19
NG,product-906,644,14.97
NG,product-907,462,9.38
KE,product-908,993,30.17
ZA,product-909,303,31.41
KE,product-910,775,70.70
KE,product-911,456,27.99
ZA,product-912,82,88.65
ZA,product-913,877,76.94
GH,product-914,698,64.78
NG,product-915,620,59.13
KE,product-916,694,25.85
GH,product-917,547,22.50
ZA,product-918,534,88.56
NG,product-919,377,79.53
KE,product-920,628,80.10
KE,product-921,750,58.94
NG,product-922,668,76.80
ZA,product-923,153,24.69
GH,product-924,283,50.79
MA,product-925,767,70.55
GH,product-926,590,84.92
GH,product-927,103,84.44
KE,product-928,324,1.83
GH,product-929,171,19.94
GH,product-930,589,75.70
KE,product-931,474,18.11
GH,product-932,967,10.93
NG,product-933,148,2.65
ZA,product-934,927,60.51
KE,product-935,357,49.00
KE,product-936,130,2.14
GH,product-937,423,5.83
ZA,product-938,997,7.33
KE,product-939,730,7.21
GH,product-940,287,85.76
KE,product-941,577,94.04
GH,product-942,602,76.17
KE,product-943,39,18.14
NG,product-944,350,71.55
KE,product-945,32,49.57
KE,product-946,97,53.95
NG,product-947,213,53.48
GH,product-948,688,68.49
GH,product-949,758,91.89
NG,product-950,130,10.21
KE,product-951,394,35.57
MA,product-952,269,32.50
GH,product-953,458,48.62
KE,product-954,493,55.55
ZA,product-955,29,63.46
ZA,product-956,545,87.65
KE,product-957,196,19.23
ZA,product-958,468,74.71
MA,product-959,558,69.40
GH,product-960,9,11.81
GH,product-961,673,72.81
ZA,product-962,322,3.45
NG,product-963,838,30.27
MA,product-964,155,37.62
GH,product-965,512,15.35
GH,product-966,876,93.86
NG,product-967,174,59.75
GH,product-968,964,68.21
GH,product-969,563,61.26
NG,product-970,677,43.60
NG,product-971,627,10.79
NG,product-972,469,32.27
GH,product-973,320,82.81
MA,product-974,668,25.39
NG,product-975,848,48.49
ZA,product-976,123,41.57
KE,product-977,496,32.22
ZA,product-978,65,27.73
NG,product-979,830,17.33
GH,product-980,579,61.21
GH,product-981,484,6.23
MA,product-982,521,74.05
ZA,product-983,147,10.55
MA,product-984,768,83.84
MA,product-985,933,48.36
KE,product-986,197,6.95
GH,product-987,126,0.46
KE,product-988,359,73.25
KE,product-989,634,51.55
MA,product-990,552,92.48
ZA,product-991,241,14.63
GH,product-992,598,7.21
NG,product-993,933,43.42
ZA,product-994,295,38.04
NG,product-995,195,62.46
KE,product-996,522,84.56
KE,product-997,88,21.57
MA,product-998,929,59.57
KE,product-999,991,60.79
ZA,product-1000,313,43.55
ZA,product-1001,193,48.35
NG,product-1002,644,89.70
GH,product-1003,325,42.89
ZA,product-1004,539,94.56
MA,product-1005,113,24.09
GH,product-1006,185,7.92
ZA,product-1007,788,33.60
KE,product-1008,416,56.84
KE,product-1009,87,34.85
ZA,product-1010,486,94.05
ZA,product-1011,824,35.16
MA,product-1012,313,25.86
MA,product-1013,682,29.45
KE,product-1014,50,58.04
NG,product-1015,524,52.82
NG,product-1016,335,0.73
KE,product-1017,508,19.16
MA,product-1018,475,89.49
MA,product-1019,217,49.32
GH,product-1020,845,47.80
NG,product-1021,691,0.93
GH,product-1022,660,24.14
KE,product-1023,168,3.48
MA,product-1024,836,61.92
KE,product-1025,412,83.58
NG,product-1026,443,39.43
MA,product-1027,837,39.64
KE,product-1028,169,81.09
MA,product-1029,810,8.97
NG,product-1030,293,39.75
GH,product-1031,552,52.61
MA,product-1032,744,17.19
MA,product-1033,92,14.33
MA,product-1034,214,98.49
MA,product-1035,916,25.52
GH,product-1036,891,45.17
KE,product-1037,842,97.76
NG,product-1038,407,90.38
KE,product-1039,580,71.60
KE,product-1040,720,23.80
NG,product-1041,884,53.01
ZA,product-1042,31,23.37
NG,product-1043,732,8.50
MA,product-1044,135,82.04
NG,product-1045,626,95.82
MA,product-1046,608,9.57
ZA,product-1047,3,96.71
GH,product-1048,550,93.76
KE,product-1049,902,54.09
GH,product-1050,19,54.38
ZA,product-1051,659,61.95
ZA,product-1052,523,8.35
NG,product-1053,471,48.13
ZA,product-1054,868,64.17
